Date,AZN,CSIQY,CSIQ,TJX,ITUB
2021-01-01,237745900,1800,46412600,114665500,861358579
2021-02-01,197416300,1800,35122800,140957500,961943088
2021-03-01,251940500,1300,58181500,174890100,1453376328
2021-04-01,216081400,2500,42921800,94458200,792576506
2021-05-01,143126800,5300,32609600,147324700,797038406
2021-06-01,141721000,3700,36531600,155188600,1186590565
2021-07-01,387383900,2500,26284400,102325100,926997282
2021-08-01,135632000,3100,28936600,138900600,905758381
2021-09-01,137899100,3100,16795200,132568700,839447676
2021-10-01,82631700,9200,20705500,131749400,785665333
2021-11-01,113414500,5300,26440000,164528700,859070000
2021-12-01,95474000,7600,24733300,135121800,947259600
2022-01-01,110112100,6400,22630800,133442100,923506600
2022-02-01,192564500,14900,14952400,131708900,938042000
2022-03-01,176235500,4100,31278500,194452100,1116090700
2022-04-01,141104500,2400,15960800,131864900,836536500
2022-05-01,145315300,12900,20611700,198132800,1161634400
2022-06-01,140836100,17800,17224600,122384600,1027963900
2022-07-01,121729100,3400,18146100,115224300,968124900
2022-08-01,138376400,5000,38283400,126515000,797500700
2022-09-01,157935800,3500,25501700,102154500,870840100
2022-10-01,134408500,5100,22351700,104673700,968935300
2022-11-01,111519700,3600,20473400,132961000,1099589000
2022-12-01,79839700,2600,15066800,103758300,759190500
2023-01-01,120002700,3100,26776700,107033800,568074800
2023-02-01,99597200,4200,17987500,112691600,643371400
2023-03-01,99862500,4100,29612600,112618800,889604100
2023-04-01,84270500,2300,13326800,77065000,417983200
2023-05-01,75410000,9300,26188000,115566600,527893400
2023-06-01,20500500,700,5645500,20232200,74969700
